IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
CXCL9,0,0,0,2.99146,0,0.207347835,-0.144093974,1,1,1,5.74E-11,1,1,1
ZC3H12A,-0.32213,0.32924018,2.313517778,1.66983,0.06798,3.164396186,3.135541958,0.54411449,0.438976605,5.61E-15,4.00E-25,0.486179392,2.81E-175,1.27E-197
GBP3,0.45254,3.471442321,3.796775679,1.64946,1.37751,1.279559552,-1.441536041,0.583741252,3.51E-32,3.39E-53,4.58E-24,4.63E-20,1.55E-10,1.53E-13
IL12A,0.25639,2.119565783,2.254646521,3.46738,0.52449,1.441607067,1.056980947,1,0.000142782,1.93E-05,9.01E-31,0.115369317,0.000519546,0.013594572
DUOX2,0.02542,0.641889742,1.863037104,3.89442,1.13755,1.712307433,-0.307621938,1,1,1,1.06E-38,0.00686166,1,1
CXCL11,0.05121,5.251592349,5.048675482,5.84274,0.00047,3.660741308,1.802823398,1,9.50E-24,4.35E-19,5.61E-214,1,1,1
CXCL2,0.20152,1.282449517,2.58204268,3.32586,1.70797,5.272650896,5.266862324,0.826591923,7.94E-10,4.61E-52,2.80E-169,1,0,0
CXCL3,-0.00973,1.229440516,1.760067966,3.04065,1.60065,4.028351802,4.265739617,0.991344499,0.063076418,0.00219248,0,2.36E-27,0,1.39E-219
IL1A,0.11975,2.320442907,3.999857237,5.14777,3.95355,5.222164943,4.330685638,1,2.74E-06,6.54E-22,0,1.24E-61,1,1.40E-84
IL1B,-0.00018,1.655335783,4.953328052,4.13847,2.25436,0.692654149,1.017908538,1,0.010731216,1.13E-35,2.61E-238,6.36E-14,1,1
IRAK2,0.37655,1.234541493,2.392692487,2.63527,1.83344,2.461634691,2.294309724,0.510158786,0.029836074,1.77E-07,8.97E-127,1.62E-75,5.23E-247,2.41E-133
JUN,0.35711,1.49108557,1.753965463,2.39388,1.73661,3.042466707,2.902966717,0.437762345,0.001076476,7.06E-06,1.64E-52,1,1,4.56E-225
TNFRSF9,0.19728,1.50248487,3.679063223,2.6956,2.16999,3.051026765,3.334308296,0.839689221,0.002231241,1.01E-19,1.17E-07,4.88E-41,1.33E-126,5.19E-117
TNFRSF1B,0.17651,1.564202858,2.443132824,1.52609,1.3064,0.712613021,1.000820306,1,1,1.72E-05,5.43E-10,0.000874091,1,1
IL20RB,0.2536,0.921394879,2.245934833,0.62858,1.83532,3.79039475,3.11433378,1,1,6.51E-06,0.047204344,2.19E-10,1.15E-34,7.54E-22
F3,0.17623,0.407049746,2.003580086,1.77381,1.15369,2.29668554,1.72886037,0.856580016,0.387250969,1.90E-10,5.97E-69,1,1.34E-33,3.57E-29
IL4R,-0.32008,0.862314994,2.039444359,0.59179,0.47642,1.398256244,0.83767181,0.517143721,0.004112628,2.07E-23,5.16E-09,9.90E-05,4.62E-33,2.03E-10
TNFRSF10A,0.14537,0.863444225,2.177936763,1.07664,0.50747,0.502016796,0.423089954,0.821070845,0.106854888,1.57E-07,2.39E-11,5.61E-07,3.40E-05,3.71E-05
KIT,0.05121,0,0,2.04254,-0.12712,1.20727358,0.268040112,1,1,1,0,1,1,1
THBS1,0.24598,0.026084816,0.842117734,2.60006,-0.50507,-0.816450442,-0.753837201,0.565846511,0.974225702,0.291558444,7.20E-68,6.53E-10,1.20E-13,1.77E-10
