log2FoldChange,padj
SERINC2,-0.7825699117,0.5715709106
LOC149086,NaN,NaN
LOC284551,-0.1054558736,NaN
TINAGL1,-1.9980311524,0.1085326521
HCRTR1,-0.0777814876,NaN
PEF1,-0.296299613,0.8043955113
COL16A1,-3.4151606606,0.0087202563
BAI2,-0.2955752885,NaN
MIR4254,NaN,NaN
SPOCD1,-2.2444301359,NaN
PTP4A2,-0.4114810744,0.7384339031
KHDRBS1,0.5036320303,0.6163082148
TMEM39B,-3.1863163051,0.0173021289
KPNA6,-0.0418940692,0.9752403963
TXLNA,-2.2635399246,NaN
CCDC28B,-1.9912261204,NaN
IQCC,-1.2673527962,NaN
DCDC2B,-1.5301372776,NaN
TMEM234,-2.0984549634,NaN
EIF3I,-0.2155706503,0.8709045804
MTMR9LP,-2.8691813669,0.0383039906
FAM167B,-1.4116384926,NaN
LCK,-2.4889457795,0.0715398652
HDAC1,-0.2562173843,0.8106725115
MARCKSL1,0.3924476567,0.7353244128
FAM229A,-1.2774437837,NaN
TSSK3,-0.6445768011,NaN
BSDC1,-2.960876563,0.0059962385
ZBTB8B,-0.0441911372,NaN
ZBTB8A,-1.9352727115,NaN
ZBTB8OS,1.4956960471,0.1330224836
RBBP4,-1.2419944384,0.2867431421
SYNC,-0.8947470649,NaN
KIAA1522,-1.2301133361,0.289289137
YARS,-1.874998755,0.104349687
S100PBP,-2.5629146359,0.0441636228
FNDC5,-0.6591463001,NaN
HPCA,-0.1154693445,NaN
TMEM54,-2.2416497699,0.0913006447
RNF19B,3.3636183237,7.16E-05
AK2,-0.3798477225,0.7764949824
ADC,-1.6578950333,NaN
TRIM62,0.1278831055,NaN
ZNF362,-0.8504335847,0.5977606111
PHC2,-2.7577731363,0.0033928822
MIR3605,-0.2567320472,NaN
ZSCAN20,-1.1801674352,NaN
CSMD2,-0.5241616307,NaN
HMGB4,-0.0247642211,NaN
LOC402779,NaN,NaN
C1orf94,-0.0232011249,NaN
GJB5,-0.3396257335,NaN
GJB4,-0.2861500993,NaN
GJB3,-0.5325367071,NaN
GJA4,-3.0301874153,NaN
SMIM12,-0.9736932027,0.4169523314
DLGAP3,-0.2831446205,NaN
LOC653160,-1.4467342262,NaN
ZMYM6NB,-0.4691819634,0.7337575896
ZMYM6,-2.8086527696,0.0393530771
ZMYM1,-1.5822191884,NaN
SFPQ,-0.3221148153,0.7944753182
ZMYM4,0.9056106523,0.3303844229
KIAA0319L,0.929858037,0.3484767007
NCDN,-2.6118617702,0.0562101235
TFAP2E,-1.2430486169,NaN
PSMB2,1.1647428738,0.2822945333
C1orf216,-3.1680281002,0.0184355224
CLSPN,-0.9726401449,NaN
AGO4,-0.638754409,0.6298755634
AGO1,-3.2904672441,0.0129102302
AGO3,0.6470615409,0.6910920336
TEKT2,1.1710624358,NaN
ADPRHL2,-0.9035060482,0.4387435494
COL8A2,-1.552711294,NaN
TRAPPC3,-1.1527445187,0.2376148783
MAP7D1,-1.6285510314,0.1483318865
THRAP3,-0.3989594352,0.6867119632
SH3D21,-1.8908940647,0.1910138131
EVA1B,-1.8211324606,0.13239028
STK40,-2.1439171014,0.0284543459
LSM10,0.6354863673,0.5601180148
OSCP1,-0.3156812556,NaN
MRPS15,0.5033949554,0.608184528
CSF3R,4.0125692464,3.61E-06
GRIK3,-0.1143314714,NaN
MIR4255,NaN,NaN
LOC728431,-1.2357767632,NaN
ZC3H12A,1.7721583738,0.0937435568
MEAF6,-0.7295479022,0.5719432236
MIR5581,-0.0127306013,NaN
SNIP1,-1.172608542,0.352546077
DNALI1,-0.6964396149,0.6172151123
GNL2,-2.8776492602,NaN
RSPO1,-1.2638215996,NaN
C1orf109,-1.2617669455,0.325130539
CDCA8,-0.4656841371,NaN
EPHA10,0.4310475472,NaN
